sucursal,item,operating_date,quantity,week_number,tavg,cold_or_warm,holiday_type,holidays,month,day_name,qty_roll_1,qty_roll_3,qty_roll_7,qty_roll_15,qty_roll_30,qty_roll_60,qty_roll_90,qty_roll_180,qty_roll_365,unit_price,revenue
Panem - Credi Club,AVOCADO TOAST,2024-10-28,0.0,44.0,21.8,cold,No holiday,False,10.0,lunes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-10-29,0.0,44.0,21.8,cold,No holiday,False,10.0,martes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-10-30,0.0,44.0,21.8,cold,No holiday,False,10.0,miercoles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-10-31,0.0,44.0,21.8,cold,No holiday,False,10.0,jueves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-01,0.0,44.0,21.8,cold,No holiday,False,10.0,viernes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-02,0.0,44.0,21.8,cold,No holiday,False,10.0,sabado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-03,0.0,44.0,21.8,cold,No holiday,False,10.0,domingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-04,0.0,44.0,21.8,cold,No holiday,False,10.0,lunes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-05,0.0,44.0,21.8,cold,No holiday,False,10.0,martes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-06,0.0,44.0,21.8,cold,No holiday,False,10.0,miercoles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-07,0.0,44.0,21.8,cold,No holiday,False,10.0,jueves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-08,0.0,44.0,21.8,cold,No holiday,False,10.0,viernes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-09,0.0,44.0,21.8,cold,No holiday,False,10.0,sabado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-10,0.0,44.0,21.8,cold,No holiday,False,10.0,domingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-11,0.0,44.0,21.8,cold,No holiday,False,10.0,lunes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-12,0.0,44.0,21.8,cold,No holiday,False,10.0,martes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-13,0.0,44.0,21.8,cold,No holiday,False,10.0,miercoles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-14,0.0,44.0,21.8,cold,No holiday,False,10.0,jueves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
Panem - Credi Club,AVOCADO TOAST,2024-11-15,0.0,44.0,21.8,cold,No holiday,False,10.0,viernes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0
